Place,Route,Time_of_Day,Peak_Type,Passenger_Demand,Traffic_Conditions,Scheduled_Buses
T. Nagar,Route_1,Early_Afternoon,Non_Peak,59,Moderate,7
Velachery,Route_4,Night,Non_Peak,41,High,8
Porur,Route_1,Afternoon_School,School,170,High,34
Anna Nagar,Route_6,Morning_Office,School,114,Low,11
Porur,Route_6,Morning_Office,Office,144,Moderate,18
T. Nagar,Route_5,Morning_Office,College,178,High,35
Porur,Route_2,Night,Non_Peak,56,Low,5
Anna Nagar,Route_3,Night,Non_Peak,66,Moderate,8
Kodambakkam,Route_2,Evening_Office,Office,157,Moderate,19
Mylapore,Route_3,Afternoon_School,School,82,Low,8
Adyar,Route_5,Early_Afternoon,Non_Peak,20,Moderate,2
T. Nagar,Route_5,Morning_School,College,84,Low,8
Porur,Route_4,Morning_Office,School,169,High,33
Guindy,Route_5,Morning_School,School,198,Low,19
Guindy,Route_5,Morning_School,School,93,Low,9
T. Nagar,Route_3,Morning_School,School,182,Low,18
T. Nagar,Route_1,Late_Morning,Non_Peak,46,Moderate,5
Kodambakkam,Route_2,Afternoon_School,School,88,Low,8
Anna Nagar,Route_5,Morning_Office,Office,158,Low,15
Tambaram,Route_6,Afternoon_School,College,94,High,18
Anna Nagar,Route_6,Early_Afternoon,Non_Peak,45,Low,4
Guindy,Route_1,Late_Morning,Non_Peak,61,Moderate,7
Velachery,Route_3,Night,Non_Peak,79,High,15
Kodambakkam,Route_4,Evening_Office,School,156,High,31
Velachery,Route_3,Early_Afternoon,Non_Peak,70,Moderate,8
Velachery,Route_5,Night,Non_Peak,51,High,10
Velachery,Route_2,Evening_Office,Office,182,High,36
Tambaram,Route_3,Early_Afternoon,Non_Peak,68,High,13
Adyar,Route_5,Morning_Office,School,131,Moderate,16
Anna Nagar,Route_6,Late_Morning,Non_Peak,51,Low,5
Tambaram,Route_5,Morning_Office,College,83,Low,8
Anna Nagar,Route_2,Evening_Office,College,173,Low,17
T. Nagar,Route_5,Night,Non_Peak,56,Moderate,7
Mylapore,Route_2,Late_Morning,Non_Peak,42,High,8
Velachery,Route_2,Night,Non_Peak,58,Low,5
Velachery,Route_2,Afternoon_School,College,188,Low,18
Anna Nagar,Route_1,Night,Non_Peak,34,Moderate,4
Kodambakkam,Route_4,Night,Non_Peak,62,Low,6
T. Nagar,Route_1,Late_Morning,Non_Peak,48,High,9
Guindy,Route_3,Night,Non_Peak,55,Low,5
Porur,Route_1,Evening_Office,Office,92,Low,9
Kodambakkam,Route_6,Late_Morning,Non_Peak,51,Moderate,6
Guindy,Route_4,Morning_School,School,150,Moderate,18
Guindy,Route_2,Late_Morning,Non_Peak,78,Moderate,9
T. Nagar,Route_4,Night,Non_Peak,70,High,14
Tambaram,Route_3,Night,Non_Peak,41,Low,4
Porur,Route_5,Evening_Office,College,107,High,21
Anna Nagar,Route_5,Early_Afternoon,Non_Peak,21,Low,2
Porur,Route_6,Night,Non_Peak,61,High,12
Kodambakkam,Route_5,Morning_School,Office,124,Low,12
Adyar,Route_3,Evening_Office,College,141,High,28
Tambaram,Route_4,Afternoon_School,School,136,Moderate,17
T. Nagar,Route_4,Evening_Office,School,196,Low,19
Vadapalani,Route_6,Late_Morning,Non_Peak,25,Moderate,3
Velachery,Route_4,Night,Non_Peak,47,Moderate,5
Kodambakkam,Route_6,Evening_Office,Office,107,Moderate,13
Kodambakkam,Route_6,Night,Non_Peak,63,Low,6
T. Nagar,Route_4,Afternoon_School,School,123,Moderate,15
T. Nagar,Route_4,Early_Afternoon,Non_Peak,39,Low,3
Kodambakkam,Route_2,Morning_Office,School,109,Moderate,13
T. Nagar,Route_1,Early_Afternoon,Non_Peak,30,Moderate,3
Tambaram,Route_2,Late_Morning,Non_Peak,77,Low,7
Kodambakkam,Route_2,Night,Non_Peak,74,Low,7
Kodambakkam,Route_5,Morning_School,School,171,Low,17
T. Nagar,Route_4,Evening_Office,School,168,High,33
Velachery,Route_3,Morning_School,Office,182,Moderate,22
Velachery,Route_6,Late_Morning,Non_Peak,52,Moderate,6
Guindy,Route_2,Morning_Office,Office,80,Low,8
Mylapore,Route_3,Early_Afternoon,Non_Peak,76,Moderate,9
Guindy,Route_1,Morning_School,School,106,High,21
Velachery,Route_5,Night,Non_Peak,76,High,15
Porur,Route_5,Night,Non_Peak,71,High,14
Tambaram,Route_5,Night,Non_Peak,32,Low,3
T. Nagar,Route_6,Morning_Office,College,184,Moderate,23
Guindy,Route_6,Night,Non_Peak,22,High,4
Porur,Route_1,Evening_Office,School,182,High,36
Adyar,Route_6,Afternoon_School,College,149,High,29
T. Nagar,Route_4,Late_Morning,Non_Peak,27,Moderate,3
Kodambakkam,Route_2,Morning_School,School,106,Low,10
Velachery,Route_3,Night,Non_Peak,28,High,5
Velachery,Route_4,Late_Morning,Non_Peak,56,Moderate,7
Kodambakkam,Route_3,Morning_School,College,176,Low,17
T. Nagar,Route_2,Night,Non_Peak,70,High,14
Kodambakkam,Route_1,Afternoon_School,College,185,Low,18
Adyar,Route_5,Night,Non_Peak,63,Moderate,7
Tambaram,Route_5,Afternoon_School,Office,103,High,20
Anna Nagar,Route_2,Early_Afternoon,Non_Peak,34,High,6
Vadapalani,Route_5,Early_Afternoon,Non_Peak,78,Low,7
Velachery,Route_4,Late_Morning,Non_Peak,73,High,14
Guindy,Route_2,Afternoon_School,College,111,High,22
Anna Nagar,Route_5,Late_Morning,Non_Peak,51,Low,5
Vadapalani,Route_3,Morning_School,College,167,Low,16
Velachery,Route_4,Evening_Office,School,184,Low,18
Kodambakkam,Route_6,Afternoon_School,Office,131,High,26
Velachery,Route_5,Afternoon_School,Office,192,High,38
Porur,Route_4,Night,Non_Peak,68,High,13
Tambaram,Route_2,Morning_Office,Office,137,Low,13
Guindy,Route_1,Early_Afternoon,Non_Peak,71,Low,7
Kodambakkam,Route_5,Late_Morning,Non_Peak,31,Low,3
Adyar,Route_3,Early_Afternoon,Non_Peak,58,Moderate,7
Porur,Route_1,Morning_School,Office,81,Low,8
Anna Nagar,Route_6,Morning_School,Office,82,Moderate,10
Mylapore,Route_6,Early_Afternoon,Non_Peak,68,Low,6
Mylapore,Route_6,Morning_School,College,180,Moderate,22
Anna Nagar,Route_4,Afternoon_School,Office,192,High,38
Adyar,Route_6,Night,Non_Peak,75,Moderate,9
Guindy,Route_3,Morning_School,College,160,Moderate,20
Adyar,Route_1,Morning_Office,College,138,High,27
Kodambakkam,Route_4,Early_Afternoon,Non_Peak,68,Low,6
Anna Nagar,Route_6,Late_Morning,Non_Peak,21,High,4
Porur,Route_5,Evening_Office,School,81,High,16
Mylapore,Route_3,Afternoon_School,College,171,Low,17
Mylapore,Route_5,Evening_Office,College,133,High,26
T. Nagar,Route_2,Late_Morning,Non_Peak,42,Moderate,5
Velachery,Route_4,Late_Morning,Non_Peak,56,Moderate,7
Kodambakkam,Route_2,Early_Afternoon,Non_Peak,51,High,10
Guindy,Route_5,Late_Morning,Non_Peak,52,High,10
Guindy,Route_5,Afternoon_School,School,80,High,16
Mylapore,Route_2,Late_Morning,Non_Peak,38,High,7
Adyar,Route_3,Morning_Office,Office,81,Moderate,10
Adyar,Route_4,Morning_Office,School,132,Low,13
Vadapalani,Route_3,Late_Morning,Non_Peak,63,Low,6
Porur,Route_5,Afternoon_School,Office,169,Low,16
Porur,Route_3,Night,Non_Peak,51,High,10
T. Nagar,Route_5,Morning_Office,School,149,Moderate,18
Mylapore,Route_2,Night,Non_Peak,51,High,10
Velachery,Route_2,Morning_Office,College,198,High,39
T. Nagar,Route_6,Early_Afternoon,Non_Peak,23,Moderate,2
Guindy,Route_4,Morning_School,College,134,High,26
Mylapore,Route_2,Afternoon_School,School,154,High,30
Adyar,Route_3,Late_Morning,Non_Peak,75,Moderate,9
Adyar,Route_6,Morning_School,College,96,High,19
Kodambakkam,Route_3,Late_Morning,Non_Peak,57,Low,5
Vadapalani,Route_6,Night,Non_Peak,43,Moderate,5
Adyar,Route_2,Morning_Office,Office,148,Moderate,18
Kodambakkam,Route_6,Morning_School,College,195,High,39
Porur,Route_5,Night,Non_Peak,53,Low,5
Velachery,Route_2,Late_Morning,Non_Peak,25,Low,2
Vadapalani,Route_1,Early_Afternoon,Non_Peak,41,High,8
Kodambakkam,Route_4,Early_Afternoon,Non_Peak,30,High,6
Guindy,Route_3,Late_Morning,Non_Peak,67,Low,6
Tambaram,Route_2,Late_Morning,Non_Peak,35,High,7
Adyar,Route_1,Early_Afternoon,Non_Peak,52,High,10
Vadapalani,Route_6,Night,Non_Peak,28,High,5
T. Nagar,Route_4,Evening_Office,College,138,Low,13
Velachery,Route_1,Night,Non_Peak,25,Low,2
Porur,Route_6,Early_Afternoon,Non_Peak,35,High,7
T. Nagar,Route_5,Afternoon_School,Office,172,High,34
Anna Nagar,Route_5,Early_Afternoon,Non_Peak,22,Low,2
Velachery,Route_3,Early_Afternoon,Non_Peak,39,Low,3
Vadapalani,Route_4,Early_Afternoon,Non_Peak,79,High,15
Porur,Route_1,Early_Afternoon,Non_Peak,78,Low,7
Guindy,Route_6,Late_Morning,Non_Peak,55,High,11
Velachery,Route_5,Evening_Office,Office,98,Low,9
Porur,Route_5,Morning_School,College,169,Low,16
Vadapalani,Route_1,Late_Morning,Non_Peak,22,Moderate,2
Kodambakkam,Route_4,Night,Non_Peak,38,Moderate,4
Adyar,Route_4,Morning_Office,College,99,Moderate,12
Vadapalani,Route_1,Afternoon_School,School,175,Moderate,21
Tambaram,Route_5,Morning_School,College,150,High,30
Mylapore,Route_5,Afternoon_School,Office,131,Moderate,16
Guindy,Route_1,Late_Morning,Non_Peak,60,Moderate,7
Vadapalani,Route_2,Afternoon_School,School,112,High,22
Vadapalani,Route_2,Late_Morning,Non_Peak,59,High,11
T. Nagar,Route_5,Evening_Office,Office,118,High,23
Vadapalani,Route_3,Early_Afternoon,Non_Peak,37,High,7
Porur,Route_4,Night,Non_Peak,59,High,11
Mylapore,Route_6,Evening_Office,School,80,High,16
Adyar,Route_4,Afternoon_School,School,90,Low,9
T. Nagar,Route_3,Evening_Office,College,171,High,34
Adyar,Route_6,Night,Non_Peak,76,Low,7
Kodambakkam,Route_1,Night,Non_Peak,44,High,8
Adyar,Route_1,Evening_Office,Office,129,Moderate,16
Kodambakkam,Route_3,Early_Afternoon,Non_Peak,42,Low,4
Velachery,Route_6,Morning_Office,College,110,Moderate,13
Porur,Route_4,Night,Non_Peak,49,High,9
Kodambakkam,Route_2,Afternoon_School,School,121,High,24
T. Nagar,Route_2,Afternoon_School,Office,178,High,35
Vadapalani,Route_5,Early_Afternoon,Non_Peak,26,Moderate,3
Velachery,Route_6,Late_Morning,Non_Peak,79,Low,7
Guindy,Route_2,Morning_School,College,95,Moderate,11
Guindy,Route_5,Afternoon_School,School,169,High,33
Mylapore,Route_3,Night,Non_Peak,67,High,13
Porur,Route_3,Late_Morning,Non_Peak,76,Low,7
T. Nagar,Route_2,Afternoon_School,Office,195,High,39
Adyar,Route_3,Morning_School,Office,139,Moderate,17
T. Nagar,Route_4,Night,Non_Peak,68,High,13
Anna Nagar,Route_3,Early_Afternoon,Non_Peak,21,Low,2
Kodambakkam,Route_3,Morning_School,College,80,High,16
Anna Nagar,Route_2,Evening_Office,School,127,Low,12
Guindy,Route_4,Afternoon_School,School,91,Moderate,11
Porur,Route_3,Evening_Office,Office,148,Low,14
Kodambakkam,Route_6,Late_Morning,Non_Peak,56,Low,5
Tambaram,Route_3,Morning_Office,Office,111,Low,11
Porur,Route_5,Late_Morning,Non_Peak,78,Moderate,9
Velachery,Route_4,Afternoon_School,College,198,Low,19
Kodambakkam,Route_3,Night,Non_Peak,28,Low,2
Tambaram,Route_3,Evening_Office,Office,184,Low,18
Vadapalani,Route_5,Early_Afternoon,Non_Peak,54,Low,5
Adyar,Route_4,Afternoon_School,College,98,High,19
Kodambakkam,Route_5,Night,Non_Peak,67,High,13
Vadapalani,Route_1,Morning_School,School,159,Low,15
Vadapalani,Route_2,Afternoon_School,School,82,Low,8
Kodambakkam,Route_5,Night,Non_Peak,39,Low,3
Vadapalani,Route_1,Afternoon_School,College,103,Low,10
Kodambakkam,Route_5,Afternoon_School,School,133,Moderate,16
Anna Nagar,Route_6,Morning_School,Office,199,Moderate,24
Guindy,Route_6,Early_Afternoon,Non_Peak,52,Low,5
Adyar,Route_6,Morning_School,Office,103,Low,10
T. Nagar,Route_3,Afternoon_School,College,195,Moderate,24
Anna Nagar,Route_4,Morning_School,Office,154,Moderate,19
T. Nagar,Route_6,Afternoon_School,College,192,Moderate,24
Guindy,Route_5,Morning_School,Office,151,Moderate,18
Mylapore,Route_2,Morning_Office,Office,115,High,23
Vadapalani,Route_6,Early_Afternoon,Non_Peak,57,High,11
T. Nagar,Route_2,Early_Afternoon,Non_Peak,59,Moderate,7
Tambaram,Route_6,Evening_Office,School,163,Moderate,20
T. Nagar,Route_3,Early_Afternoon,Non_Peak,54,Low,5
Anna Nagar,Route_6,Late_Morning,Non_Peak,67,Moderate,8
Vadapalani,Route_3,Morning_School,School,168,Low,16
Adyar,Route_4,Morning_School,College,178,Low,17
Kodambakkam,Route_1,Afternoon_School,College,104,Low,10
Tambaram,Route_6,Afternoon_School,School,172,Low,17
Mylapore,Route_5,Morning_School,Office,97,Moderate,12
Adyar,Route_2,Morning_Office,Office,189,Low,18
Kodambakkam,Route_5,Evening_Office,Office,161,Moderate,20
Adyar,Route_5,Early_Afternoon,Non_Peak,21,Low,2
Tambaram,Route_1,Afternoon_School,College,133,High,26
Porur,Route_5,Night,Non_Peak,54,High,10
Adyar,Route_3,Evening_Office,College,159,Low,15
Guindy,Route_1,Evening_Office,College,140,Low,14
Kodambakkam,Route_2,Evening_Office,School,120,Moderate,15
Kodambakkam,Route_6,Afternoon_School,School,179,Low,17
Mylapore,Route_3,Night,Non_Peak,52,Low,5
Kodambakkam,Route_2,Night,Non_Peak,23,High,4
Adyar,Route_5,Late_Morning,Non_Peak,52,Moderate,6
Anna Nagar,Route_6,Late_Morning,Non_Peak,33,Low,3
Guindy,Route_5,Night,Non_Peak,40,Low,4
Adyar,Route_1,Evening_Office,Office,127,Moderate,15
Mylapore,Route_1,Morning_School,School,99,Low,9
Tambaram,Route_1,Night,Non_Peak,75,Low,7
Kodambakkam,Route_5,Afternoon_School,School,87,High,17
Anna Nagar,Route_1,Morning_School,School,86,Low,8
Anna Nagar,Route_3,Morning_School,College,146,High,29
Velachery,Route_3,Early_Afternoon,Non_Peak,36,High,7
Vadapalani,Route_1,Night,Non_Peak,52,High,10
Anna Nagar,Route_3,Early_Afternoon,Non_Peak,67,Moderate,8
Guindy,Route_6,Afternoon_School,Office,155,Low,15
T. Nagar,Route_4,Afternoon_School,Office,138,Low,13
Anna Nagar,Route_1,Afternoon_School,School,194,Moderate,24
Guindy,Route_5,Morning_Office,Office,165,Low,16
Mylapore,Route_2,Early_Afternoon,Non_Peak,74,Low,7
Guindy,Route_3,Morning_Office,School,101,Moderate,12
Mylapore,Route_4,Morning_School,College,189,High,37
Anna Nagar,Route_4,Late_Morning,Non_Peak,49,Low,4
Porur,Route_3,Evening_Office,Office,117,High,23
Velachery,Route_1,Morning_Office,Office,181,Low,18
Mylapore,Route_1,Afternoon_School,School,188,Low,18
Guindy,Route_5,Night,Non_Peak,70,Moderate,8
Vadapalani,Route_1,Morning_School,College,133,Low,13
Porur,Route_3,Night,Non_Peak,27,Low,2
Velachery,Route_1,Evening_Office,College,106,Moderate,13
Kodambakkam,Route_6,Afternoon_School,Office,106,Low,10
T. Nagar,Route_6,Afternoon_School,School,177,High,35
Vadapalani,Route_4,Early_Afternoon,Non_Peak,40,Moderate,5
Guindy,Route_2,Night,Non_Peak,49,High,9
Adyar,Route_5,Morning_School,Office,176,Moderate,22
T. Nagar,Route_6,Morning_School,College,107,Low,10
Anna Nagar,Route_1,Early_Afternoon,Non_Peak,66,High,13
Guindy,Route_2,Night,Non_Peak,52,Low,5
Guindy,Route_6,Morning_Office,School,148,High,29
Porur,Route_2,Morning_Office,Office,140,High,28
Adyar,Route_1,Late_Morning,Non_Peak,67,High,13
Tambaram,Route_3,Morning_School,College,98,High,19
Kodambakkam,Route_6,Late_Morning,Non_Peak,23,Moderate,2
Anna Nagar,Route_5,Morning_School,Office,114,Moderate,14
Adyar,Route_4,Late_Morning,Non_Peak,68,Low,6
Guindy,Route_2,Morning_Office,College,96,Moderate,12
T. Nagar,Route_4,Evening_Office,School,123,High,24
Kodambakkam,Route_6,Morning_Office,Office,171,Low,17
Anna Nagar,Route_1,Early_Afternoon,Non_Peak,49,Low,4
T. Nagar,Route_2,Late_Morning,Non_Peak,48,Moderate,6
Tambaram,Route_5,Evening_Office,College,125,Low,12
Adyar,Route_1,Night,Non_Peak,72,Low,7
Porur,Route_5,Morning_School,Office,85,Moderate,10
T. Nagar,Route_6,Night,Non_Peak,54,Low,5
Velachery,Route_1,Morning_School,Office,184,Moderate,23
Guindy,Route_3,Afternoon_School,College,116,High,23
Anna Nagar,Route_2,Morning_School,School,103,High,20
Velachery,Route_6,Late_Morning,Non_Peak,48,High,9
Adyar,Route_1,Morning_School,Office,192,Moderate,24
Adyar,Route_1,Afternoon_School,College,125,High,25
Kodambakkam,Route_2,Early_Afternoon,Non_Peak,72,Low,7
Porur,Route_4,Morning_Office,School,174,High,34
Vadapalani,Route_4,Late_Morning,Non_Peak,54,High,10
T. Nagar,Route_1,Night,Non_Peak,79,Moderate,9
Porur,Route_1,Early_Afternoon,Non_Peak,52,Moderate,6
Tambaram,Route_6,Night,Non_Peak,71,Moderate,8
T. Nagar,Route_4,Evening_Office,College,142,Moderate,17
Anna Nagar,Route_1,Afternoon_School,School,164,Low,16
Mylapore,Route_3,Morning_Office,School,111,High,22
Vadapalani,Route_1,Morning_School,Office,166,High,33
Kodambakkam,Route_6,Late_Morning,Non_Peak,52,Moderate,6
Adyar,Route_6,Morning_School,College,146,High,29
Guindy,Route_6,Morning_Office,College,97,High,19
Adyar,Route_2,Afternoon_School,School,104,High,20
T. Nagar,Route_3,Afternoon_School,Office,185,Low,18
